RequestID,RideID,PassengerID,RequestStatus,RequestedAt
1,dd1ee643-2f02-4546-977c-bc55fd4b55ea,28498463,PENDING,2026-02-09 08:00:00
2,6e0180e5-20d9-4e12-872f-f6b45ef5cd82,28498446,ACCEPTED,2026-02-09 08:10:00
3,119fb431-101b-49d7-be17-92e9caab7c87,28498438,REJECTED,2026-02-09 08:20:00
4,c409227a-e96e-4444-8749-15c2bd03d2ae,28498455,ACCEPTED,2026-02-09 08:30:00
5,6f179c80-7958-4a77-b0fb-00d61de45087,28498445,PENDING,2026-02-09 08:40:00
6,bc1f49d4-f927-4adf-97a8-86c33187bf44,28498459,ACCEPTED,2026-02-09 08:50:00
7,9735ef94-75bf-49ed-bb07-953d50455b23,28498438,REJECTED,2026-02-09 09:00:00
8,4d54af73-b35e-4410-b352-f3eb42ebf559,28498438,PENDING,2026-02-09 09:10:00
9,1aa9cfe1-5983-4e69-b836-f2dd09f29b7b,28498461,ACCEPTED,2026-02-09 09:20:00
10,a1287b4e-2a85-444b-9813-c5a4759cce8c,28498439,PENDING,2026-02-09 09:30:00
11,f29f6565-5bc4-495a-9878-4b91b3b876c3,28498452,REJECTED,2026-02-09 09:40:00
12,2b1c3ff3-e65b-40d9-baa2-a294f843e35d,28498447,ACCEPTED,2026-02-09 09:50:00
13,b83d9c8b-0278-4a57-9ba7-4b9673550776,28498459,PENDING,2026-02-09 10:00:00
14,553aced0-6547-41e5-9aaa-26ddf8e769ed,28498442,ACCEPTED,2026-02-09 10:10:00
15,7dad019c-c58d-42db-be4f-9d7d794b57ed,28498464,REJECTED,2026-02-09 10:20:00
16,7262c937-95e9-4526-9efc-1d2d65db305c,28498445,PENDING,2026-02-12 08:00:00
17,b6facd13-306b-4a00-9ef0-da8c342217a1,28498449,ACCEPTED,2026-02-12 08:10:00
18,4ced265c-6fa0-4485-a41c-267d1b8c52bf,28498447,REJECTED,2026-02-12 08:20:00
19,351d6041-9b8f-4b93-b3c8-613788d14dbe,28498443,PENDING,2026-02-12 08:30:00
20,b673fea0-b774-41f3-9e76-2846183a7467,28498465,ACCEPTED,2026-02-12 08:40:00
