MemberID,AverageRating,TotalRidesTaken,TotalRidesHosted,NumberOfRatings
28498438,3.43,99,1,198
28498439,4.67,73,54,146
28498440,3.06,76,1,152
28498441,3.24,100,99,200
28498442,2.00,104,64,208
28498443,2.25,52,33,104
28498444,3.59,103,49,206
28498445,4.53,73,6,146
28498446,1.24,104,36,208
28498447,1.26,131,75,262
28498448,1.51,169,88,338
28498449,2.83,65,38,130
28498450,4.13,138,73,276
28498451,3.75,116,96,232
28498452,1.49,102,44,204
28498453,2.38,125,57,250
28498454,2.87,74,2,148
28498455,4.69,67,64,134
28498456,2.18,108,35,216
28498457,1.62,79,46,158
28498458,1.27,35,25,70
28498459,3.86,97,49,194
28498460,3.28,98,96,196
28498461,2.66,70,2,140
28498462,1.79,46,23,92
28498463,1.63,70,47,140
28498464,3.52,131,60,262
28498465,3.71,44,38,88
28498466,3.72,164,68,328
28498467,3.17,132,66,264
28498468,4.00,4,3,3
28498474,4.00,1,1,1
28498489,2.00,1,1,1
28498490,0.00,0,1,0
