RideID,MemberID,FeedbackText,FeedbackCategory,SubmittedAt
119fb431-101b-49d7-be17-92e9caab7c87,28498438,Felt safe throughout.,Safety,2026-02-11 09:20:00
152056fd-7799-4aab-8156-c216eb76f0c3,28498448,Awesome experience,Safety,2026-02-15 01:03:11
1aa9cfe1-5983-4e69-b836-f2dd09f29b7b,28498461,Slight delay due to traffic.,Punctuality,2026-02-11 10:20:00
1bea2983-7e49-4705-a8a9-36f467fd0873,28498442,Nice Car,Punctuality,2026-02-15 01:03:11
253e09ea-d227-432f-811c-c1237a674c46,28498468,Hello,Safety,2026-03-22 17:46:10
299116dc-e3bd-4f0f-9642-9ff7688891f2,28498468,"It was good, I liked it",Comfort,2026-03-22 07:13:38
2b1c3ff3-e65b-40d9-baa2-a294f843e35d,28498447,On-time departure.,Punctuality,2026-02-11 10:50:00
351d6041-9b8f-4b93-b3c8-613788d14dbe,28498443,Smooth driving experience.,,2026-02-12 10:30:00
3a5cad27-a2e5-4f20-a70e-ddea0e82a852,28498451,bad copassenger,Safety,2026-02-15 01:03:11
3bcc7676-04a0-4b0e-92f0-a688ecbc3f6c,28498474,Hello,Safety,2026-03-22 17:25:34
3cc9024d-a7ef-46db-87e7-480fadcfa16d,28498467,Will recommned to friends,Safety,2026-02-15 01:03:11
4675faeb-4be3-40b5-8350-031e9bdfb2da,28498468,Hello,Safety,2026-03-22 17:14:05
4ced265c-6fa0-4485-a41c-267d1b8c52bf,28498447,Felt very safe during ride.,Safety,2026-02-12 10:20:00
4d54af73-b35e-4410-b352-f3eb42ebf559,28498438,Driver polite and helpful.,Safety,2026-02-11 10:10:00
4e697d34-d415-484d-8ade-88d9c928a350,28498468,nICE,Safety,2026-03-22 06:31:48
525867bd-3a18-403b-a0bb-601eee3ce3ee,28498450,AC not working,Comfort,2026-02-15 01:03:11
553aced0-6547-41e5-9aaa-26ddf8e769ed,28498442,Driver was friendly.,Safety,2026-02-11 11:10:00
5f2acb79-ebf8-49ef-8588-dd63706e769a,28498465,Friendly co-passengers,Comfort,2026-02-15 01:03:11
62e067d5-5155-4b71-b65f-f7fdc2e1bbf9,28498442,Nice,Comfort,2026-02-15 01:03:11
66e87cba-96f7-4da4-bc09-eccea50bc882,28498468,nice,Safety,2026-04-02 02:51:49
66e87cba-96f7-4da4-bc09-eccea50bc882,28498489,good,Punctuality,2026-03-28 16:41:21
6e0180e5-20d9-4e12-872f-f6b45ef5cd82,28498446,Driver was punctual.,Punctuality,2026-02-11 09:10:00
6f179c80-7958-4a77-b0fb-00d61de45087,28498445,Reached on time.,Punctuality,2026-02-11 09:40:00
7262c937-95e9-4526-9efc-1d2d65db305c,28498445,Nice and comfortable ride.,Comfort,2026-02-12 10:00:00
766d2473-dc58-413f-a814-8c54c928e701,28498460,Will recommned to friends,Safety,2026-02-15 01:03:11
7bafd39b-6e2c-44fb-8b65-373ab4607608,28498456,Need to improve chat UI,Comfort,2026-02-15 01:03:11
7dad019c-c58d-42db-be4f-9d7d794b57ed,28498464,Ride was average.,,2026-02-11 11:20:00
8f5dedd8-21b3-4a5d-a1cf-8bd93db74b8c,28498439,Friendly co-passengers,Safety,2026-02-15 01:03:11
8f7877f9-d082-4046-a9d0-daa413c1bcf8,28498439,Driver was late,Comfort,2026-02-15 01:03:11
9735ef94-75bf-49ed-bb07-953d50455b23,28498438,AC was not working.,Comfort,2026-02-11 10:00:00
9bd17bb6-2bf9-4245-bae6-5ac56f517ce4,28498462,Nice Car,Punctuality,2026-02-15 01:03:11
a1287b4e-2a85-444b-9813-c5a4759cce8c,28498439,Comfortable seats.,Comfort,2026-02-11 10:30:00
a8749424-ac53-4119-9b95-6d621d37d052,28498438,Awesome experience,Comfort,2026-02-15 01:03:11
b3b7e197-41bd-442c-b30e-94d2ed874009,28498440,bad copassenger,Comfort,2026-02-15 01:03:11
b539a100-4699-41d7-bc48-892b1d89bad2,28498452,Need to improve chat UI,Safety,2026-02-15 01:03:11
b673fea0-b774-41f3-9e76-2846183a7467,28498465,Vehicle was clean and neat.,Comfort,2026-02-12 10:40:00
b6facd13-306b-4a00-9ef0-da8c342217a1,28498449,Driver arrived on time.,Punctuality,2026-02-12 10:10:00
b83d9c8b-0278-4a57-9ba7-4b9673550776,28498459,Great experience overall.,,2026-02-11 11:00:00
bc1f49d4-f927-4adf-97a8-86c33187bf44,28498459,Good driving skills.,Safety,2026-02-11 09:50:00
bda24468-ca06-4713-988e-2f9e2cdaa500,28498465,Very great experience,Safety,2026-02-15 01:03:11
c2720c19-64e7-4608-bd08-5645c277aa96,28498489,Nice,Comfort,2026-03-28 16:34:42
c409227a-e96e-4444-8749-15c2bd03d2ae,28498455,Car was clean.,Comfort,2026-02-11 09:30:00
cf97d981-4613-4bac-971e-e6865052db20,28498449,Driver was late,Comfort,2026-02-15 01:03:11
dd1ee643-2f02-4546-977c-bc55fd4b55ea,28498463,Very smooth ride.,Comfort,2026-02-11 09:00:00
e83d295e-e4ef-48f1-aca2-ae62debe3381,28498460,Awesome experience,Punctuality,2026-02-15 01:03:11
e98af64b-0dd8-4ae5-90db-063445fb203a,28498465,AC not working,Comfort,2026-02-15 01:03:11
f29f6565-5bc4-495a-9878-4b91b3b876c3,28498452,Felt very secure.,Safety,2026-02-11 10:40:00
f45f8311-e93f-4eba-b0a1-caa4ca41f858,28498463,Will recommned to friends,Safety,2026-02-15 01:03:11
